T(s),Zone I (overstrength 2),Zone I (elastic),Zone II (overstrength 2),Zone II (elastic),Zone IIIa (overstrength 2),Zone IIIa (elastic),Zone IIIb (overstrength 2),Zone IIIb (elastic),Zone IIIc (overstrength 2),Zone IIIc (elastic),Zone IIId (overstrength 2),Zone IIId (elastic)
1.89,0.114285714,0.228571429,0.204550098,0.409100195,0.362811791,0.725623583,0.45,0.9,0.4,0.8,0.3,0.6
1.9,0.113684211,0.227368421,0.203119492,0.406238983,0.35900277,0.71800554,0.45,0.9,0.4,0.8,0.3,0.6
1.91,0.113089005,0.22617801,0.201706323,0.403412646,0.35525342,0.710506839,0.45,0.9,0.4,0.8,0.3,0.6
1.92,0.1125,0.225,0.200310288,0.400620577,0.3515625,0.703125,0.45,0.9,0.4,0.8,0.3,0.6
1.93,0.111917098,0.223834197,0.198931093,0.397862187,0.347928803,0.695857607,0.45,0.9,0.4,0.8,0.3,0.6
1.94,0.111340206,0.222680412,0.197568449,0.395136897,0.344351153,0.688702306,0.45,0.9,0.4,0.8,0.3,0.6
1.95,0.110769231,0.221538462,0.196222072,0.392444144,0.340828402,0.681656805,0.45,0.9,0.4,0.8,0.3,0.6
1.96,0.110204082,0.220408163,0.194891687,0.389783375,0.337359434,0.674718867,0.45,0.9,0.4,0.8,0.3,0.6
1.97,0.10964467,0.21928934,0.193577024,0.387154049,0.333943158,0.667886315,0.45,0.9,0.4,0.8,0.3,0.6
1.98,0.109090909,0.218181818,0.192277819,0.384555638,0.330578512,0.661157025,0.45,0.9,0.4,0.8,0.3,0.6
1.99,0.108542714,0.217085427,0.190993813,0.381987626,0.327264463,0.654528926,0.45,0.9,0.4,0.8,0.3,0.6
2,0.108,0.216,0.189724753,0.379449506,0.324,0.648,0.45,0.9,0.4,0.8,0.3,0.6
2.01,0.107462687,0.214925373,0.188470392,0.376940784,0.320784139,0.641568278,0.45,0.9,0.4,0.8,0.3,0.6
2.02,0.106930693,0.213861386,0.187230488,0.374460976,0.31761592,0.63523184,0.45,0.9,0.4,0.8,0.3,0.6
2.03,0.106403941,0.212807882,0.186004804,0.372009607,0.314494407,0.628988813,0.45,0.9,0.4,0.8,0.3,0.6
2.04,0.105882353,0.211764706,0.184793107,0.369586214,0.311418685,0.62283737,0.45,0.9,0.4,0.8,0.3,0.6
2.05,0.105365854,0.210731707,0.183595172,0.367190343,0.308387864,0.616775729,0.45,0.9,0.4,0.8,0.3,0.6
2.06,0.104854369,0.209708738,0.182410775,0.364821549,0.305401075,0.610802149,0.45,0.9,0.4,0.8,0.3,0.6
2.07,0.104347826,0.208695652,0.181239698,0.362479397,0.302457467,0.604914934,0.45,0.9,0.4,0.8,0.3,0.6
2.08,0.103846154,0.207692308,0.18008173,0.360163461,0.299556213,0.599112426,0.45,0.9,0.4,0.8,0.3,0.6
2.09,0.103349282,0.206698565,0.178936661,0.357873323,0.296696504,0.593393008,0.45,0.9,0.4,0.8,0.3,0.6
2.1,0.102857143,0.205714286,0.177804287,0.355608574,0.293877551,0.587755102,0.45,0.9,0.4,0.8,0.3,0.6
2.11,0.102369668,0.204739336,0.176684408,0.353368815,0.291098583,0.582197165,0.45,0.9,0.4,0.8,0.3,0.6
2.12,0.101886792,0.203773585,0.175576827,0.351153653,0.288358847,0.576717693,0.45,0.9,0.4,0.8,0.3,0.6
2.13,0.101408451,0.202816901,0.174481352,0.348962704,0.285657608,0.571315215,0.45,0.9,0.4,0.8,0.3,0.6
2.14,0.100934579,0.201869159,0.173397796,0.346795591,0.282994148,0.565988296,0.45,0.9,0.4,0.8,0.3,0.6
2.15,0.100465116,0.200930233,0.172325973,0.344651946,0.280367766,0.560735533,0.45,0.9,0.4,0.8,0.3,0.6
2.16,0.1,0.2,0.171265703,0.342531406,0.277777778,0.555555556,0.45,0.9,0.4,0.8,0.3,0.6
2.17,0.099539171,0.199078341,0.170216809,0.340433618,0.275223513,0.550447026,0.45,0.9,0.4,0.8,0.3,0.6
2.18,0.099082569,0.198165138,0.169179117,0.338358234,0.272704318,0.545408636,0.45,0.9,0.4,0.8,0.3,0.6
